	Gene_ID	Gene_name	Query	Gene_score
2033	1749	DLX5	0	-17.1293
2034	5345	SERPINF2	0	-17.3327
2035	4068	SH2D1A	0	-17.3533
2036	7026	NR2F2	0	-17.3551
2037	7837	PXDN	0	-17.3983
2038	10978	CLP1	0	-17.409
2039	57477	SHROOM4	0	-17.4331
2040	83861	RSPH3	0	-17.5144
2041	6262	RYR2	0	-17.6026
2042	22802	CLCA4	0	-17.6194
2043	51164	DCTN4	0	-17.6194
2044	6804	STX1A	0	-17.6194
2045	10654	PMVK	0	-17.7701
2046	5479	PPIB	0	-17.7725
2047	444	ASPH	0	-17.7868
2048	8456	FOXN1	0	-17.8086
2049	28982	FLVCR1	0	-17.8113
2050	7050	TGIF1	0	-17.8117
2051	79719	AAGAB	0	-17.8233
2052	3762	KCNJ5	0	-17.8273
2053	7038	TG	0	-17.84
2054	55252	ASXL2	0	-17.9008
2055	5238	PGM3	0	-18.0232
2056	9563	H6PD	0	-18.0335
2057	387733	IFITM5	0	-18.0536
2058	8915	BCL10	0	-18.0659
2059	10559	SLC35A1	0	-18.1999
2060	55714	TENM3	0	-18.2182
2061	2554	GABRA1	0	-18.238
2062	667	DST	0	-18.264
2063	2916	GRM6	0	-18.2848
2064	51371	POMP	0	-18.3565
2065	112476	PRRT2	0	-18.3621
2066	9940	DLEC1	0	-18.3623
2067	56603	CYP26B1	0	-18.3952
2068	51574	LARP7	0	-18.4102
2069	5528	PPP2R5D	0	-18.4265
2070	91851	CHRDL1	0	-18.4578
2071	4318	MMP9	0	-18.51
2072	24140	FTSJ1	0	-18.5678
2073	50511	SYCP3	0	-18.5875
2074	55603	TENT5A	0	-18.6449
2075	9382	COG1	0	-18.6741
2076	9987	HNRNPDL	0	-18.76
2077	54507	ADAMTSL4	0	-18.7825
2078	3689	ITGB2	0	-18.7996
2079	117155	CATSPER2	0	-18.8124
2080	221421	RSPH9	0	-18.84
2081	3321	IGSF3	0	-18.8462
2082	27445	PCLO	0	-18.9098
2083	1285	COL4A3	0	-18.9219
2084	149775	GNAS-AS1	0	-18.9656
2085	3060	HCRT	0	-18.9735
2086	3931	LCAT	0	-19.0839
2087	54820	NDE1	0	-19.0899
2088	220	ALDH1A3	0	-19.1087
2089	161742	SPRED1	0	-19.1555
2090	2566	GABRG2	0	-19.2435
2091	51124	IER3IP1	0	-19.3323
2092	4351	MPI	0	-19.3714
2093	5645	PRSS2	0	-19.3806
2094	1357	CPA1	0	-19.3806
2095	11330	CTRC	0	-19.3806
2096	1956	EGFR	0	-19.4
2097	3708	ITPR1	0	-19.4043
2098	3975	LHX1	0	-19.4048
2099	3373	HYAL1	0	-19.4088
2100	93426	SYCE1	0	-19.4367
2101	256297	PTF1A	0	-19.4615
2102	1788	DNMT3A	0	-19.4723
2103	1581	CYP7A1	0	-19.5079
2104	7258	TSPY1	0	-19.5731
2105	57135	DAZ4	0	-19.5731
2106	58495	OVOL2	0	-19.6205
2107	9150	CTDP1	0	-19.6301
2108	5311	PKD2	0	-19.6625
2109	23261	CAMTA1	0	-19.6728
2110	1859	DYRK1A	0	-19.6934
2111	7297	TYK2	0	-19.7466
2112	7045	TGFBI	0	-19.8555
2113	345895	RSPH4A	0	-19.8844
2114	4308	TRPM1	0	-19.888
2115	79574	EPS8L3	0	-19.9012
2116	85440	DOCK7	0	-19.9344
2117	2130	EWSR1	0	-19.9719
2118	4340	MOG	0	-19.9862
2119	158866	ZDHHC15	0	-20.0018
2120	3074	HEXB	0	-20.0104
2121	10309	CCNO	0	-20.0698
2122	3122	HLA-DRA	0	-20.0792
2123	1041	CDSN	0	-20.0844
2124	161497	STRC	0	-20.1538
2125	2483	FRG1	0	-20.1605
2126	3617	IMPG1	0	-20.1993
2127	6789	STK4	0	-20.3217
2128	2652	OPN1MW	0	-20.3428
2129	5956	OPN1LW	0	-20.3428
2130	10664	CTCF	0	-20.351
2131	8701	DNAH11	0	-20.3566
2132	9790	BMS1	0	-20.3886
2133	917	CD3G	0	-20.4238
2134	3090	HIC1	0	-20.4872
2135	6833	ABCC8	0	-20.496
2136	57010	CABP4	0	-20.4995
2137	27245	AHDC1	0	-20.6726
2138	1674	DES	0	-20.6958
2139	3972	LHB	0	-20.7034
2140	65217	PCDH15	0	-20.7266
2141	51314	NME8	0	-20.7451
2142	6228	RPS23	0	-20.7456
2143	10653	SPINT2	0	-20.9288
2144	1861	TOR1A	0	-20.9697
2145	23394	ADNP	0	-20.9733
2146	3670	ISL1	0	-21.0211
2147	8328	GFI1B	0	-21.0246
2148	60506	NYX	0	-21.0656
2149	3702	ITK	0	-21.0765
2150	5034	P4HB	1	-21.0958
2151	11113	CIT	0	-21.0969
